x,y,z,qx,qy,qz,qw
0.924321174621582,0.9769210815429688,0.0,0.0,0.0,0.3348793539521566,0.9422610138897747
7.08493709564209,7.285787105560303,0.0,0.0,0.0,0.0060785052449577655,0.9999815257163439
14.968550682067871,2.0080819129943848,0.0,0.0,0.0,-0.0089922917246598,0.9999595685274173
19.906925201416016,8.455316543579102,0.0,0.0,0.0,-0.02465350654465171,0.9996960561165843
24.885196685791016,1.9966058731079102,0.0,0.0,0.0,-0.008928482452711491,0.9999601403061482
26.99527931213379,21.881837844848633,0.0,0.0,0.0,0.7126965833941767,0.7014724371051704
25.028133392333984,27.809612274169922,0.0,0.0,0.0,0.9999386476280581,0.011077047430172054
22.638652801513672,15.432258605957031,0.0,0.0,0.0,0.9999924352944836,0.0038896470030119136
17.52009391784668,17.35448455810547,0.0,0.0,0.0,0.7092598356355836,0.7049471508944376
17.87625503540039,27.544137954711914,0.0,0.0,0.0,0.9999917224836472,0.004068779201247759
13.363271713256836,27.563106536865234,0.0,0.0,0.0,-0.9809740523440087,0.19413889004466361
8.35727596282959,25.749061584472656,0.0,0.0,0.0,-0.21190701623399102,0.97728983237871
13.318380355834961,17.84769058227539,0.0,0.0,0.0,-0.6940105579726134,0.7199648223507464
0.9314937591552734,1.0375518798828125,0.0,0.0,0.0,0.36047189060892276,0.9327700767503366
